Topic,Text
Bilim,"Yapay zeka, yeni ilaçlar ve tedaviler keşfetmek için kullanılıyor ve tıbbi araştırmaları hızlandırıyor."
Spor,Adaptif sporların popülaritesi giderek artmakta ve engelli bireylerin spora katılmaları için fırsatlar sunmaktadır.
Seyahat,Tek başına seyahat giderek yaygınlaşıyor ve bireylere kişisel gelişim ve macera fırsatı sunuyor.
İş Dünyası,Yatırımcıların olumlu bir sosyal etki yaratırken finansal getiri elde etmelerini sağlayan etki yatırımı yükselişte.
Sağlık,"Teleterapi, daha fazla esneklik ve kolaylık sunarak geleneksel terapiye popüler bir alternatif haline gelmektedir."
Çevre,"Yeşil altyapı, sürdürülebilir kentsel kalkınmayı teşvik ederek şehirlere entegre ediliyor."
Teknoloji,"Sanal gerçeklik, sürükleyici öğrenme deneyimleri sunarak eğitim ve öğretim için kullanılıyor."
Eğitim,"Mikro öğrenme, ısırık büyüklüğünde ve odaklanmış öğrenme fırsatları sunan popüler bir eğitim yaklaşımı haline geliyor."
Yemek,"Biyoçeşitlilik dostu tarım, sürdürülebilir tarım uygulamalarını teşvik ederek ve bitki ve hayvan türlerini koruyarak dikkat çekmektedir."
Sanat,"Toplumsal sanat projeleri giderek yaygınlaşmakta, insanları bir araya getirmekte ve sosyal uyumu teşvik etmektedir."
Bilim,"Genomik araştırmalar, Dünya'daki yaşam çeşitliliğine ve türlerin kökenlerine yeni bir ışık tutuyor."
Spor,"Kapsayıcı sporların popülaritesi giderek artmakta, spor ve fiziksel aktivitede çeşitlilik ve kapsayıcılığı teşvik etmektedir."
Seyahat,"Sürdürülebilir turizm, sorumlu seyahat uygulamalarını teşvik eden ve kültürel mirası koruyan bir norm haline gelmektedir."
İş Dünyası,Bireylerin kaynakları paylaşmasını ve israfı azaltmasını sağlayan işbirlikçi tüketim artıyor.
Teknoloji,"5G, daha hızlı ve daha güvenilir internet bağlantısı sunarak teknoloji endüstrisinde devrim yaratmaya hazırlanıyor."
Eğitim,Öğrencilerin kendi hızlarında ve kendi alanlarında öğrenmelerine olanak tanıyan ters yüz edilmiş sınıflar giderek yaygınlaşıyor.
Yemek,"Çiftlikten masaya yemek, yerel gıda sistemlerini teşvik ederek ve gıda milini azaltarak daha popüler hale gelmektedir."
Sanat,"Sanat terapisi, ruh sağlığı ve esenlik için güçlü bir araç olarak kabul görmektedir."
Bilim,"Nanoteknoloji, tıbbi araştırma ve tedavi için yeni olanaklar sunuyor."
Spor,Adaptif sporların popülaritesi giderek artmakta ve engelli bireylerin spor ve fiziksel aktivitelere katılmaları için fırsatlar sunmaktadır.
Sanat,"Leonardo da Vinci'nin bir başyapıtı olan Mona Lisa, esrarengiz gülümsemesi ve gizemli bakışlarıyla ünlüdür."
Bilim,Alexander Fleming'in penisilini keşfetmesi tıp dünyasında devrim yaratarak milyonlarca insanın hayatını kurtarmıştır.
Edebiyat,"Jane Austen'in Gurur ve Önyargı'sı 19. yüzyıl İngiltere'sinde aşk, sınıf ve sosyal normlar temalarını işleyen klasik bir romandır."
Teknoloji,Elon Musk'ın SpaceX'i yeniden kullanılabilir roketleri ve iddialı hedefleriyle uzay yolculuğunun sınırlarını zorluyor.
Tarih,"Bir mimari harikası olan Çin Seddi, 13000 milden fazla bir alana yayılmakta ve Çin imparatorluğunu istilalardan korumaktadır."
Spor,"Bir tenis efsanesi olan Serena Williams, 23 Grand Slam tekler şampiyonluğu kazandı ve sporda rekorları alt üst etti."
Müzik,"Nobel ödüllü Bob Dylan, şiirsel şarkı sözleri ve etkileyici kariyeriyle müzik endüstrisini şekillendirmiştir."
Mutfak,"Zengin lezzetleri ve zarif sunumuyla bilinen Fransız mutfağı, küresel mutfak trendlerini etkilemiştir."
Felsefe,"Immanuel Kant'ın Saf Aklın Eleştirisi, Batı felsefesinde çığır açan ve gerçeklik anlayışımıza meydan okuyan bir eserdir."
Moda,"Coco Chanel, zamansız tasarımları ve güçlendirici mesajlarıyla moda endüstrisinde devrim yarattı."
Çevre,"Bir iklim aktivisti olan Greta Thunberg, iklim değişikliğiyle mücadeleye duyulan acil ihtiyaç konusunda küresel farkındalık yaratmıştır."
Din,"Budizm'in kurucusu Gautama Buddha, öğretileriyle dünyaya aydınlanmaya giden yolu öğretmiştir."
Mimarlık,UNESCO Dünya Mirası Listesi'nde yer alan Antoni Gaudi'nin Sagrada Familia'sı nefes kesici bir sanat ve mühendislik eseridir.
Astronomi,"Öncü bir astronom olan Galileo Galilei, teleskopik keşifleriyle evrenin yerleşik görüşlerine meydan okudu."
Mitoloji,"Yunan efsanesi Pandora'nın Kutusu, merak ve itaatsizliğin sonuçları hakkında bir ders verir."
Diller,"Dünyada en çok konuşulan dil olan Mandarin Çincesi, zengin bir tarihe ve kültürel öneme sahip tonal bir dildir."
Coğrafya,"Dünyanın en yüksek dağı olan Everest Dağı, zirvesini fethetmek isteyen dünyanın dört bir yanından dağcıları kendine çekmektedir."
Edebiyat,"Edebi bir deha olan William Shakespeare'in eserleri, sanatçı ve akademisyen nesillere ilham vermeye ve onları etkilemeye devam ediyor."
Bilim,"Charles Darwin'in evrim teorisi, Dünya'daki yaşamın bilimsel olarak anlaşılmasında devrim yaratmıştır."
Teknoloji,Steve Jobs'un Apple'ı iPhone ve iPad gibi yenilikçi ürünlerle teknoloji endüstrisini dönüştürdü.
Tarih,"Dünya tarihinde bir dönüm noktası olan Roma İmparatorluğu'nun çöküşü, antik uygarlığın sonu ve Orta Çağ'ın başlangıcı oldu."
Spor,"Dünyanın en hızlı adamı Usain Bolt, sayısız rekor kırdı ve atletizm sahnesini domine etti."
Müzik,"Bir klasik müzik efsanesi olan Mozart, senfoniler, operalar ve oda müziği de dahil olmak üzere 600'den fazla eser bestelemiştir."
Mutfak,"Farklı tatları ve baharatlarıyla bilinen Hint mutfağı, küresel mutfak trendlerini etkilemiştir."
Felsefe,"Aristoteles'in Nikomakhos'a Etik adlı eseri, Batı felsefesinde ahlak ve erdemin doğasını araştıran ufuk açıcı bir eserdir."
Moda,"Bir moda ikonu olan Coco Chanel, zamansız tasarımları ve güçlendirici mesajlarıyla moda endüstrisinde devrim yarattı."
Çevre,"Bir doğa tarihçisi olan David Attenborough, doğal dünyanın harikaları konusunda nesilleri eğitmiş ve onlara ilham vermiştir."
Din,"İslam'ın kutsal kitabı Kur'an-ı Kerim, İslam dünyasını ve ötesini etkilemiş önemli bir dini ve edebi eserdir."
Mimarlık,"UNESCO Dünya Mirası Listesi'nde yer alan Tac Mahal, Babür mimarisinin çarpıcı bir örneği, aşkın ve bağlılığın sembolüdür."
Mitoloji,"Zengin ve karmaşık bir inanç sistemi olan İskandinav mitolojisi, Avrupa edebiyatını, sanatını ve kültürünü etkilemiştir."
Diller,"Eski ve kutsal bir dil olan İbranice, Yahudi ve İsrail toplumlarında benzersiz bir alfabeye ve kültürel öneme sahiptir."
Coğrafya,"Dünyanın en büyük tropik yağmur ormanı olan Amazon Yağmur Ormanları, çeşitli bitki ve hayvan yaşamını destekleyen hayati bir ekosistemdir."
Edebiyat,"Modernist bir yazar olan Virginia Woolf, romanlarında toplumsal cinsiyet normlarına meydan okumuş ve insan duygularının karmaşıklığını keşfetmiştir."
Bilim,"Öncü bir bilim insanı olan Marie Curie, radyum ve polonyum elementlerini keşfetmiş ve radyoaktivite alanına önemli katkılarda bulunmuştur."
Teknoloji,"Steve Jobs'un Apple'ı, Macintosh ve iPod gibi yenilikçi ürünlerle teknoloji endüstrisini dönüştürdü."
Tarih,"Dünya tarihinde bir dönüm noktası olan Batı Roma İmparatorluğu'nun çöküşü, antik uygarlığın sonu ve Orta Çağ'ın başlangıcı oldu."
Spor,"Bir tenis efsanesi olan Serena Williams sayısız rekora imza atmış, güçlü oyunu ve kararlılığıyla sporu domine etmiştir."
Müzik,"Bir Barok besteci olan Bach, müzisyenlere ve izleyicilere ilham vermeye ve onları etkilemeye devam eden zamansız başyapıtlar yarattı."
Mutfak,"Hassasiyeti, sadeliği ve mevsimlik malzemelere verdiği önemle bilinen Japon mutfağı, küresel mutfak trendlerini etkilemiştir."
Felsefe,"Jean-Jacques Rousseau'nun İnsanlar Arasındaki Eşitsizliğin Kökeni ve Temelleri Üzerine Söylev'i, Batı felsefesinde insanın ve toplumun doğasını araştıran ufuk açıcı bir eserdir."
Çevre,"Bir deniz biyoloğu olan Rachel Carson, pestisitlerin tehlikeleri ve çevrenin korunmasının önemi konusunda farkındalık yaratmıştır."
Din,"Kutsal bir Hindu metni olan Bhagavad Gita, aydınlanmaya giden yolda ruhani bilgelik ve rehberlik sunar."
Mimarlık,"Bir Roma amfitiyatrosu olan Kolezyum, antik mühendisliğin bir harikası ve Roma İmparatorluğu'nun gücünün ve ihtişamının bir sembolüdür."
Mitoloji,"Karmaşık ve büyüleyici bir inanç sistemi olan Mısır mitolojisi, binlerce yıldır sanatı, edebiyatı ve kültürü etkilemiştir."
Tarih,"15 Ağustos 1947'de Hindistan, İngiliz yönetiminden bağımsızlığını kazanarak Güney Asya'daki İngiliz emperyalizminin sonunu getirdi."
Teknoloji,"Tesla ve SpaceX'in CEO'su Elon Musk, batarya teknolojisinde yeni bir atılım yaparak daha uzun ömürlü ve daha uygun fiyatlı elektrikli araçlar vaat ettiğini duyurdu."
Spor,Serena Williams 23. Grand Slam şampiyonluğunu elde ederek tarihin en çok şampiyonluk kazanan tenisçisi oldu.
Edebiyat,Amerikalı ünlü romancı Toni Morrison 88 yaşında hayata veda etti. Afro-Amerikan deneyimini irdeleyen eserleriyle tanınıyordu.
Çevre,"Genç bir iklim aktivisti olan Greta Thunberg, iklim değişikliğiyle mücadele için derhal harekete geçilmesini talep eden küresel bir greve öncülük etti."
Politika,"Yeni Zelanda Başbakanı Jacinda Ardern, gelir eşitsizliğini ele almak üzere yeni bir politika açıklayarak bunu hükümetinin önceliği haline getirdi."
Sanat,"Gizemli İngiliz sokak sanatçısı Banksy, Londra'da yeni bir duvar resmi sergileyerek sanat meraklıları arasında tartışma yarattı."
Müzik,Beyoncé sürpriz bir albüm yayınlayarak izlenme rekorları kırdı ve hayranlarını kendine hayran bıraktı.
Yemek,"Üç Michelin yıldızlı İtalyan şef Massimo Bottura, dünyanın dört bir yanındaki ev aşçılarına ilham veren basit ama lezzetli bir makarna yemeği tarifi paylaştı."
Bilim,Bir grup araştırmacı yeni bir dinozor türü keşfederek tarih öncesi hayvanların evrimine ışık tuttu.
Tarih,"1954 yılında, sivil haklar aktivisti Rosa Parks, Montgomery, Alabama'da bir otobüsteki koltuğunu bırakmayı reddetti ve Montgomery Otobüs Boykotu'nu başlattı."
Teknoloji,Apple 2007 yılında ilk iPhone'u tanıtarak iletişim ve bağlantı kurma yöntemlerimizde devrim yarattı.
Spor,"Efsanevi basketbolcu Michael Jordan, 2003 yılında NBA'den emekli oldu ve sporda silinmez bir iz bıraktı."
Edebiyat,"İngiliz yazar J.K. Rowling, 1997 yılında ilk Harry Potter kitabını yayınlayarak fantezi edebiyatında küresel bir fenomenin fitilini ateşledi."
Çevre,"İngiliz doğa tarihçisi ve yayıncı David Attenborough, iklim değişikliği konusunda bir belgesel yayınlayarak farkındalık yarattı ve harekete geçilmesi için ilham verdi."
Politika,Güney Afrikalı apartheid karşıtı devrimci ve siyasetçi Nelson Mandela 1990 yılında hapishaneden serbest bırakılarak Güney Afrika'da demokrasinin önünü açtı.
Sanat,"Hollandalı ressam Vincent van Gogh, yaşamı boyunca, çoğu post-empresyonist sanatın başyapıtları olarak kabul edilen 2000'den fazla eser yarattı."
Bilim,"Polonyalı-Fransız bir fizikçi ve kimyager olan Marie Curie, radyum ve polonyum elementlerini keşfetti ve bu süreçte iki Nobel Ödülü kazandı."
Tarih,Tarihin en güçlü imparatorluklarından biri olan Roma İmparatorluğu M.Ö. 27 yılında kurulmuştur.
Teknoloji,"Apple'ın kurucu ortağı Steve Jobs, 1984 yılında Macintosh bilgisayarını tanıtarak kişisel bilgisayar devriminin başlangıcını yaptı."
Spor,"Jamaikalı sprinter Usain Bolt, 2008 yılında 100 metre koşuda dünya rekoru kırarak dünyanın en hızlı adamı olma statüsünü sağlamlaştırdı."
Politika,"Pakistanlı kadın eğitim aktivisti Malala Yousafzai, 2012 yılında bir suikast girişiminden kurtuldu ve savunuculuğunu sürdürerek Nobel Barış Ödülü'ne layık görülen en genç isim oldu."
Sanat,"İtalyan polimat Leonardo da Vinci, 15. yüzyılın sonlarında tarihin en ünlü ve en esrarengiz sanat eserlerinden biri olan Mona Lisa'yı yaptı."
Müzik,"Alman besteci Bach, Brandenburg Konçertoları ve Si Minör Mass da dahil olmak üzere çeşitli türlerde 1000'in üzerinde beste yapmıştır."
Yemek,"Amerikalı bir şef ve gıda aktivisti olan Alice Waters, 1971 yılında Chez Panisse'i açarak çiftlikten sofraya hareketine öncülük etmiş ve sürdürülebilir, yerel gıda sistemlerini teşvik etmiştir."
Bilim,"İtalyan astronom ve fizikçi Galileo Galilei, Jüpiter'in uydularının keşfi ve teleskopun geliştirilmesi de dahil olmak üzere bilimsel devrime önemli katkılarda bulunmuştur."
Tarih,"Kolomb öncesi Amerika kıtasının en gelişmiş uygarlıklarından biri olan Maya uygarlığı, MÖ 2000'den MS 1500'e kadar varlığını sürdürmüştür."
Teknoloji,"Wright kardeşler, Orville ve Wilbur, 1903 yılında ilk motorlu uçuşu gerçekleştirerek havacılık endüstrisinin önünü açtılar."
Spor,"Amerikalı yüzücü Michael Phelps, 23 Olimpiyat altın madalyası kazanarak tüm zamanların en çok madalya kazanan Olimpiyat sporcusu oldu."
Çevre,"İngiliz kutup kaşifi Robert Swan, 1993 yılında Antarktika'yı ilk kez tek başına geçerek iklim değişikliği konusunda farkındalık yarattı."
Politika,"Birmanyalı siyasetçi ve 1991 Nobel Barış Ödülü sahibi Aung San Suu Kyi, Myanmar'da 2015 yılında yapılan seçimlerde Ulusal Demokrasi Birliği'ni zafere taşıdı."
Sanat,"İspanyol ressam Pablo Picasso, 1907 yılında Kübist akımın kurucularından biri olmuş, sanatta devrim yaratmış ve sanatçı kuşaklarını etkilemiştir."
Müzik,"Alman besteci Ludwig van Beethoven, 1808 yılında klasik müziğin en ünlü ve ikonik eserlerinden biri olan 5. Senfoni'yi yazdı."
Bilim,"Polonyalı-Fransız bir fizikçi ve kimyager olan Marie Curie, 1898 yılında polonyum ve radyum elementlerini keşfederek Nobel Ödülü kazanan ilk kadın ve farklı bilim dallarında iki Nobel Ödülü kazanan tek kişi oldu."
Seyahat,Japonya seyahatim sırasında güzel Sagano Bambu Ormanı'nı ziyaret ettim. Sakin atmosfer Tokyo'nun kalabalık şehirleriyle tam bir tezat oluşturuyordu.
Sanat,"Yakın zamanda Frida Kahlo'nun eserlerini keşfettim. Otoportreleri derin duygusal acılarını yansıtıyor, ancak aynı zamanda inanılmaz derecede büyüleyici."
Yemek,"Bologna'da otantik İtalyan makarnası denemek unutulmaz bir deneyimdi. Tatlar zengin ve karmaşıktı, daha önce yediğim hiçbir şeye benzemiyordu."
Teknoloji,Yapay zekâ alanındaki son gelişmeler gerçekten dikkate değer. Geçenlerde nesneleri gerçek zamanlı olarak tanıyabilen ve sınıflandırabilen bir makine öğrenimi algoritmasının demosunu gördüm.
Spor,Dünya Kupası finalini izlemek heyecan verici bir deneyimdi. İki takım kupa için mücadele ederken gerilim hissediliyordu.
Tarih,Mısırlılar ve piramitleri gibi eski uygarlıklar hakkında bilgi edinmek beni her zaman büyülemiştir. Bu harikaları bizzat görmek için yakında Mısır'ı ziyaret etmeyi planlıyorum.
Müzik,Blues müziğinin zengin tarihini keşfetmek ödüllendirici bir yolculuk oldu. Yakın zamanda Muddy Waters'ı ve onun rock'n roll üzerindeki etkisini keşfettim.
Tarih,Mahatma Gandhi şiddet içermeyen sivil itaatsizlik yöntemini kullanarak Hindistan'ın İngiliz yönetiminden bağımsızlığını kazanmasına öncülük etmiştir.
Teknoloji,Elon Musk'ın Tesla'sı elektrikli araçlarla otomobil endüstrisinde devrim yaratmayı hedefliyor.
Spor,"Serena Williams, 23 Grand Slam tekler şampiyonluğu ile tarihin en donanımlı tenis oyuncusu."
Edebiyat,J.K. Rowling'in Harry Potter serisi 500 milyondan fazla satarak dünya çapında okuyucuları büyüledi.
Müzik,"Beyoncé, güçlü vokalleri ve dinamik performanslarıyla tanınan küresel bir müzik süperstarıdır."
Bilim,"Marie Curie, Nobel Ödülü kazanan ilk kadın ve birden fazla bilim dalında ödül kazanan tek kişiydi."
Sanat,Vincent van Gogh'un Yıldızlı Gece tablosu dünyanın en ünlü tablolarından biridir ve sayısız sanatçıya ilham kaynağı olmuştur.
Yemek,Suşi Japonya'da ortaya çıkmış ve 120000'den fazla restoranla dünya çapında popüler bir yemek haline gelmiştir.
Moda,"Coco Chanel, klasik küçük siyah elbisesi ve zamansız aksesuarlarıyla kadın modasında devrim yarattı."
Çevre,"Genç bir iklim aktivisti olan Greta Thunberg, çevresel eylem için küresel bir hareket başlattı."
Seyahat,"UNESCO Dünya Mirası Listesi'nde yer alan Çin Seddi, 13000 mil boyunca uzanmaktadır ve mutlaka ziyaret edilmesi gereken bir cazibe merkezidir."
Tarih,"Güney Afrikalı apartheid karşıtı bir devrimci olan Nelson Mandela, ülkenin ilk siyah başkanı olmadan önce 27 yılını hapiste geçirdi."
Teknoloji,Apple'ın iPhone'u yenilikçi tasarımı ve kullanıcı dostu arayüzü ile akıllı telefon pazarını dönüştürdü.
Spor,"Arjantin'in efsanevi futbolcusu Lionel Messi, kariyeri boyunca sayısız ödül ve unvan kazandı."
Edebiyat,"J.R.R. Tolkien'in Yüzüklerin Efendisi ve Hobbit'i de içeren Orta Dünya serisi, nesiller boyu okuyuculara ilham vermiştir."
Müzik,"Amerikalı efsanevi şarkıcı-söz yazarı Bob Dylan, şiirsel sözleri ve etkileyici müziğiyle sayısız ödül kazanmıştır."
Bilim,"Öncü bir fizikçi ve kimyager olan Marie Curie, polonyum ve radyum elementlerini keşfederek kendisine iki Nobel Ödülü kazandırdı."
Sanat,"Meksikalı bir sanatçı olan Frida Kahlo, kültürel mirasını ve kişisel deneyimlerini yansıtan otoportreleri ve canlı renkleriyle tanınır."
Yemek,"Tacos, et, fasulye ve salsa gibi çeşitli malzemelerle doldurulmuş mısır veya buğday tortillasından oluşan geleneksel bir Meksika yemeğidir."
Moda,"Fransız moda tasarımcısı Coco Chanel, 'küçük siyah elbiseyi' tanıttı ve zamansız tasarımlarıyla kadın modasında devrim yarattı."
Çevre,Yağmur ormanları Dünya yüzeyinin yaklaşık %6'sını kaplar ve dünyadaki türlerin yarısından fazlasına ev sahipliği yapar.
Seyahat,"Dünyanın en büyük mercan resifi sistemi olan Büyük Set Resifi, Avustralya'nın Queensland kıyılarında yer alır ve popüler bir turizm merkezidir."
Tarih,Tarihin en güçlü uygarlıklarından biri olan Roma İmparatorluğu 1000 yıldan fazla sürmüş ve üç kıtaya yayılmıştır.
Teknoloji,İskoçya doğumlu bir bilim adamı olan Alexander Graham Bell telefonu icat ederek iletişimde devrim yarattı.
Spor,"Efsanevi Amerikalı basketbolcu Michael Jordan, Chicago Bulls ile altı NBA şampiyonluğu kazanmıştır."
Edebiyat,"Amerikalı bir yazar olan Mark Twain, en çok Huckleberry Finn'in Maceraları ve Tom Sawyer'ın Maceraları adlı romanlarıyla tanınır."
Müzik,"İngiliz-Amerikan rock grubu The Beatles, dünya çapında 600 milyondan fazla albüm satarak tarihin en etkili grubu olarak kabul edilmektedir."
Bilim,"İtalyan gökbilimci Galileo Galilei, Jüpiter'in uydularını ilk gözlemleyen kişi olmuş ve güneş sistemi anlayışımızda devrim yaratmıştır."
Sanat,"İtalyan bir sanatçı olan Leonardo da Vinci, Mona Lisa ve Son Akşam Yemeği gibi ikonik tablolarıyla tanınır."
Yemek,"Pizza, domates sosu, peynir ve soslar gibi çeşitli malzemelerle doldurulmuş bir yassı ekmekten oluşan popüler bir İtalyan yemeğidir."
Çevre,"Dünyanın en büyük tropik yağmur ormanı olan Amazon Yağmur Ormanları, 2,1 milyon mil kareden fazla bir alanı kaplamakta ve milyonlarca bitki ve hayvan türüne ev sahipliği yapmaktadır."
Seyahat,"Hindistan'ın Agra kentinde bulunan bir anıt mezar olan Tac Mahal, UNESCO Dünya Mirası Listesi'nde yer almaktadır ve dünyanın en popüler turistik mekanlarından biridir."
Tarih,"Antik Mısır'ın son Firavunu Kleopatra VII, MÖ 51-30 yılları arasında Mısır'ı yönetmiş, zekâsı ve politik zekâsıyla tanınmıştır."
